VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,date,DATE,PRCP,TMIN,TMAX
2,1/15/16 20:16,1/15/16 20:29,1,1.88,-73.98020172,40.74871826,1,-73.98758698,40.72867584,1,10,0.5,0.5,1.7,0,13,1/15/16,1/15/16 0:00,0,34,51
1,2/12/16 14:35,2/12/16 14:56,1,2.1,-74.00004578,40.72187042,1,-73.98830414,40.74354553,1,13.5,0,0.5,2.85,0,17.15,2/12/16,2/12/16 0:00,0,15,27
1,1/10/16 11:11,1/10/16 11:34,1,6.8,-73.97045135,40.79935837,1,-73.98566437,40.72792435,1,23,0,0.5,4.75,0,28.55,1/10/16,1/10/16 0:00,1.8,40,59
2,3/14/16 23:04,3/14/16 23:35,1,7.3,-74.00392151,40.70743561,1,-73.98615265,40.7582283,1,26,0.5,0.5,0,0,27.3,3/14/16,3/14/16 0:00,0.29,40,51
2,3/9/16 18:05,3/9/16 18:09,1,0.46,-73.94989777,40.77209091,1,-73.95635223,40.77585983,1,4.5,1,0.5,1.26,0,7.56,3/9/16,3/9/16 0:00,0,44,77
1,1/27/16 23:29,1/27/16 23:47,1,3.1,-73.99150848,40.75404739,1,-73.95352936,40.77116776,1,14.5,0.5,0.5,3.15,0,18.95,1/27/16,1/27/16 0:00,0,34,47
2,2/5/16 5:41,2/5/16 5:45,1,0.92,-73.99138641,40.75706863,1,-73.9804306,40.76043701,1,5,0.5,0.5,1.26,0,7.56,2/5/16,2/5/16 0:00,0.53,31,44
2,2/6/16 0:36,2/6/16 0:46,1,1.19,-73.98589325,40.73117828,1,-73.99649048,40.73777008,1,8,0.5,0.5,2,0,11.3,2/6/16,2/6/16 0:00,0,30,40
2,1/3/16 14:29,1/3/16 14:37,2,1.61,-73.98114777,40.76781082,1,-73.96784973,40.78729248,2,8.5,0,0.5,0,0,9.3,1/3/16,1/3/16 0:00,0,35,45
2,3/11/16 18:11,3/11/16 18:17,1,1.3,-73.98379517,40.77559662,1,-73.97608948,40.79138184,2,6.5,1,0.5,0,0,8.3,3/11/16,3/11/16 0:00,0.06,48,68
1,1/9/16 12:25,1/9/16 12:42,1,2.7,-74.00437927,40.73344421,1,-73.99461365,40.75051498,1,13.5,0,0.5,2.85,0,17.15,1/9/16,1/9/16 0:00,0,40,47
1,2/6/16 12:36,2/6/16 12:46,1,1.9,-73.98155975,40.7783699,1,-74.00261688,40.76066589,2,9.5,0,0.5,0,0,10.3,2/6/16,2/6/16 0:00,0,30,40
2,3/10/16 8:57,3/10/16 9:31,1,4.17,-73.97444153,40.7908783,1,-73.98030853,40.74528503,1,22.5,0,0.5,4.66,0,27.96,3/10/16,3/10/16 0:00,0,63,79
2,2/3/16 17:32,2/3/16 17:59,5,3.09,-73.97015381,40.76161575,1,-73.99241638,40.72541428,1,17.5,1,0.5,0,0,19.3,2/3/16,2/3/16 0:00,0.73,42,59
1,3/1/16 16:01,3/1/16 16:07,1,0.6,-73.9764328,40.75718307,1,-73.98648834,40.76137924,2,5,1,0.5,0,0,6.8,3/1/16,3/1/16 0:00,0,39,52
1,1/4/16 18:53,1/4/16 19:14,2,6.1,-73.97143555,40.79773331,1,-73.98796082,40.73775864,1,21,1,0.5,5.7,0,28.5,1/4/16,1/4/16 0:00,0,14,36
